,abstract,authors,comment,id,journal_ref,main_author,pdf_url,publish_date,term,terms,title,update_date,url
103,"The first interstellar object, `Oumuamua, was discovered in the Solar System by Pan-STARRS in 2017, allowing for a calibration of the impact rate of interstellar meteors of its size $\sim 100\;$m. The discovery of CNEOS 2014-01-08 allowed for a calibration of the impact rate of interstellar meteors of its size $\sim 1\;$m. Analysis of interstellar dust grains have allowed for calibrations of the impact rate of smaller interstellar meteors down to the size $\sim 10^{-8}\;$m. We analyze the size distribution of interstellar meteors, finding that for smooth power-law fits of the form $N(r)\propto r^{-q}$, the possible values of $q$ are in the range $3.41 \pm 0.17$. We then consider the possibility of analyzing interstellar meteors to learn about their parent planetary systems. We propose a strategy for determining the orbits and chemical compositions of interstellar meteors, using a network of $\sim 600$ all-sky camera systems to track and conduct remote spectroscopy on meteors larger than $\sim 5$cm once every few years. It should also be possible to retrieve meteorites from the impact sites, providing the first samples of materials from other planetary systems.","Amir Siraj, Abraham Loeb","5 pages, 2 figures, submitted to ApJL",1906.03270v1,No journal ref found,Abraham Loeb,http://arxiv.org/pdf/1906.03270v1,2019-06-07 18:00:01+00:00,astro-ph.EP,astro-ph.EP,Probing Extrasolar Planetary Systems with Interstellar Meteors,2019-06-07 18:00:01+00:00,http://arxiv.org/abs/1906.03270v1
104,"The morphology of thin stellar streams can be used to test the nature of dark matter. It is therefore crucial to extend searches for globular cluster streams to other galaxies than the Milky Way. In this paper, we investigate the current and future prospects of detecting globular cluster streams in external galaxies in resolved stars (e.g. with WFIRST) and using integrated light (e.g. with HSC, LSST and Euclid). In particular, we inject mock-streams to data from the PAndAS M31 survey, and produce simulated M31 backgrounds mimicking what WFIRST will observe in M31. Additionally, we estimate the distance limit to which globular cluster streams will be observable. Our results demonstrate that for a 1 hour (1000 sec.) exposure, using conservative estimates, WFIRST should detect globular cluster streams in resolved stars in galaxies out to distances of ~3.5 Mpc (~2 Mpc). This volume contains 199 (122) galaxies of which >90% are dwarfs. With integrated light, thin streams can be resolved out to ~100 Mpc with HSC and LSST and to ~600 Mpc with WFIRST and Euclid. The low surface brightness of the streams (typically >30 mag/arcsec$^2$), however, will make them difficult to detect, unless the streams originate from very young clusters. We emphasize that if the external galaxies do not host spiral arms or galactic bars, gaps in their stellar streams provide an ideal test case for evidence of interactions with dark matter subhalos. Furthermore, obtaining a large samples of thin stellar streams can help constrain the orbital structure and hence the potentials of external halos.","Sarah Pearson, Tjitske K. Starkenburg, Kathryn V. Johnston, Benjamin F. Williams, Rodrigo A. Ibata","22 pages, 7 figures, 1 table, submitted to AAS journals, comments
  welcome",1906.03264v1,No journal ref found,Rodrigo A. Ibata,http://arxiv.org/pdf/1906.03264v1,2019-06-07 18:00:00+00:00,astro-ph.GA,astro-ph.GA,Detecting Thin Stellar Streams in External Galaxies: Resolved Stars &   Integrated Light,2019-06-07 18:00:00+00:00,http://arxiv.org/abs/1906.03264v1
105,"Exoplanetary systems host giant planets on substantially non-circular, close-in orbits. We propose that these eccentricities arise in a phase of giant impacts, analogous to the final stage of Solar System assembly that formed Earth's Moon. In this scenario, the planets scatter each other and collide, with corresponding mass growth as they merge. We numerically integrate an ensemble of systems with varying total planet mass, allowing for collisional growth, to show that (1) the high-eccentricity giants observed today may have formed preferentially in systems of higher initial total planet mass, and (2) the upper bound on the observed giant planet eccentricity distribution is consistent with planet-planet scattering. We predict that mergers will produce a population of high-mass giant planets between 1 and 5 au from their stars.","Renata Frelikh, Hyerin Jang, Ruth A. Murray-Clay, Cristobal Petrovich","8 pages, 5 figures",1906.03266v1,No journal ref found,Cristobal Petrovich,http://arxiv.org/pdf/1906.03266v1,2019-06-07 18:00:00+00:00,astro-ph.EP,astro-ph.EP,Signatures of a planet-planet impacts phase in exoplanetary systems   hosting giant planets,2019-06-07 18:00:00+00:00,http://arxiv.org/abs/1906.03266v1
106,"We present polarimetric observations of four Class II protoplanetary disks (DG Tau, Haro 6-13, RY Tau, and MWC 480) taken with the Atacama Large Millimeter/submillimeter Array (ALMA) at 3 mm. The polarization morphologies observed fall into two distinct categories: azimuthal polarization (DG Tau and Haro 6-13) and polarization parallel to the disk minor axis (RY Tau and MWC 480). The mechanisms responsible for disk polarization at millimeter and submillimeter wavelengths are currently under debate. In this Letter, we investigate two mechanisms capable of producing polarized dust emission in disks: self-scattering and grain alignment to the radiation anisotropy. The polarization morphologies of DG Tau and Haro 6-13 are broadly consistent with that expected from radiation alignment (though radiative alignment still does not account for all of the features seen in these disks), while RY Tau and MWC 480 are more consistent with self-scattering. Such a variation in the polarized morphology may provide evidence of dust grain size differences between the sources.","Rachel E. Harrison, Leslie W. Looney, Ian W. Stephens, Zhi-Yun Li, Haifeng Yang, Akimasa Kataoka, Robert J. Harris, Woojin Kwon, Takayuki Muto, Munetake Momose","10 pages, 5 figures, corrected ALMA project code and corrected
  formatting of Bacciotti et al. (2018) citation",1905.06266v2,No journal ref found,Munetake Momose,http://arxiv.org/pdf/1905.06266v2,2019-05-15 16:07:56+00:00,astro-ph.SR,astro-ph.SR|astro-ph.GA,Dust Polarization in Four Protoplanetary Disks at 3 mm: Further Evidence   of Multiple Origins,2019-06-07 17:59:15+00:00,http://arxiv.org/abs/1905.06266v2
107,"Venus was observed at frequencies of 1297.67 MHz (23 cm), 607.67 MHz (49 cm) and 233.67 MHz (1.28 m) with the Giant Metrewave Radio Telescope (GMRT) during the period of 25th July and 6th September 2015 when it was close to its inferior conjunction. Values of the brightness temperature (Tb) of Venus from these observations were derived as 622{\pm}43 K, 554{\pm}38 K for 1297.67 and 607.67 MHz frequencies, respectively, are in agreement with the previous observations. The attempt to derive the Tb at 233.67 MHz affirms an upper limit of 321 K which is significantly lower than the previously reported upper limit of 426 K at the same frequency. We also present the dielectric constant ({\epsilon}) values of the Venus surface estimated using the degree of polarisation maps of Venus, derived from the GMRT polarisation observations and theoretical calculations. The {\epsilon} of the Venus surface was estimated to be ~4.5 at both the 607.67 MHz and 1297.67 MHz, close to the reported values of {\epsilon} of 4 to 4.5 from the radar-based observations including the Magellan observations at 2.38 GHz (12.6 cm).","Nithin Mohan, Suresh Raju C, Govind Swarup, Divya Oberoi","9 pages, 5 figures",1906.03243v1,No journal ref found,Divya Oberoi,http://arxiv.org/pdf/1906.03243v1,2019-06-07 17:05:03+00:00,astro-ph.EP,astro-ph.EP|astro-ph.IM,Polarisation and Brightness Temperature Observations of Venus with the   GMRT,2019-06-07 17:05:03+00:00,http://arxiv.org/abs/1906.03243v1
108,"We have obtained deep Hubble Space Telescope (HST) imaging of 19 dwarf galaxy candidates in the vicinity of M101. Advanced Camera for Surveys HST photometry for 2 of these objects showed resolved stellar populations and Tip of the Red Giant Branch derived distances consistent with M101 group membership. The other 17 were found to have no resolved stellar populations, meaning they are background low surface brightness (LSB) galaxies. It is notable that many LSB objects which had previously been assumed to be M101 group members based on projection have been shown to be background objects, indicating the need for future diffuse dwarf surveys to be careful in drawing conclusions about group membership without robust distance estimates. In this work we update the satellite luminosity function of M101 based on the presence of these new objects down to M_V=-8.2. M101 is a sparsely populated system with only 9 satellites down to M_V~-8, as compared to 26 for M31 and 24.5\pm7.7 for the median local Milky Way (MW)-mass host. This makes M101 the sparsest group probed to this depth, though M94 is even sparser to the depth it has been examined (M_V=-9.1). M101 and M94 share several properties that mark them as unusual compared to the other local MW-mass galaxies examined: they have a sparse satellite population but also have high star forming fractions among these satellites; such properties are also found in the galaxies examined as part of the SAGA survey. We suggest that these properties appear to be tied to the galactic environment, with more isolated galaxies showing sparse satellite populations which are more likely to have had recent star formation, while those in dense environments have more satellites which tend to have no recent star formation. Overall our results show a level of halo-to-halo scatter between galaxies of similar mass that is larger than is predicted in the \LambdaCDM model.","P. Bennet, D. J. Sand, D. Crnojević, K. Spekkens, A. Karunakaran, D. Zaritsky, B. Mutlu-Pakdil","22 pages, 10 figures, submitted to ApJ",1906.03230v1,No journal ref found,B. Mutlu-Pakdil,http://arxiv.org/pdf/1906.03230v1,2019-06-07 16:43:34+00:00,astro-ph.GA,astro-ph.GA,The M101 Satellite Luminosity Function and the Halo to Halo Scatter   Among Milky Way Analogues,2019-06-07 16:43:34+00:00,http://arxiv.org/abs/1906.03230v1
109,"We present the results of a long term telescopic observation campaign of comet 21P/Giacobini-Zinner, parent body of the Draconid meteor shower, spanning $\sim 240$ days during its 2018 apparition. Determinations of comet 21P's dust production rate through the $Af\rho$ parameter derived from these images show that the comet had a highly asymmetric dust production rate that peaked $\sim 10-30$ days before perihelion, when the comet was at a heliocentric distance of $\sim 1.02 - 1.08 \thinspace \mathrm{AU}$. The single highest $Af\rho$ measurement occurred on 2018-Aug-14 (27 days before perihelion), and had a measured value of $Af\rho = 1594 \thinspace \mathrm{cm}$. The comet's $Af\rho$ profile is well described by a double-exponential model that rises rapidly during ingress and declines even more rapidly during its egress. These results are fully consistent with observations of comet 21P's dust and gas production rates during past apparitions, and suggest that the double-exponential model we have derived provides a reasonable and stable approximation for the comet's activity over the past thirty to forty years.","Steven Ehlert, Natalie Moticska, Auriane Egal","12 pages, 4 figures, 5 tables. Accepted for publication in the
  Astronomical Journal",1906.01582v2,No journal ref found,Auriane Egal,http://arxiv.org/pdf/1906.01582v2,2019-06-04 16:53:49+00:00,astro-ph.EP,astro-ph.EP,Dust Production of Comet 21P/Giacobini-Zinner Throughout its 2018   Apparition,2019-06-07 16:36:19+00:00,http://arxiv.org/abs/1906.01582v2
110,"Massive clumps tend to fragment into clusters of cores and condensations, some of which form high-mass stars. In this work, we study the structure of massive clumps at different scales, analyze the fragmentation process, and investigate the possibility that star formation is triggered by nearby HII regions. We present a high angular resolution study of a sample of 8 massive proto-cluster clumps. Combining infrared data, we use few-arcsecond resolution radio- and millimeter interferometric data to study their fragmentation and evolution. Our sample is unique in the sense that all the clumps have neighboring HII regions. Taking advantage of that, we test triggered star formation using a novel method where we study the alignment of the centres of mass traced by dust emission at multiple scales. The eight massive clumps have masses ranging from 228 to 2279 $M_\odot$. The brightest compact structures within infrared bright clumps are typically associated with embedded compact radio continuum sources. The smaller scale structures of $R_{\rm eff}$ $\sim$ 0.02 pc observed within each clump are mostly gravitationally bound and massive enough to form at least a B3-B0 type star. Many condensations have masses larger than 8 $M_\odot$ at small scale of $R_{\rm eff}$ $\sim$ 0.02 pc. Although the clumps are mostly infrared quiet, the dynamical movements are active at clump scale ($\sim$ 1 pc). We studied the spatial distribution of the gas conditions detected at different scales. For some sources we find hints of external triggering, whereas for others we find no significant pattern that indicates triggering is dynamically unimportant. This probably indicates that the different clumps go through different evolutionary paths. In this respect, studies with larger samples are highly desired.","Chuan-Peng Zhang, Timea Csengeri, Friedrich Wyrowski, Guang-Xing Li, Thushara Pillai, Karl M. Menten, Jennifer Hatchell, Mark A. Thompson, Michele R. Pestalozzi","30 pages, 6 tables, 21 figures, accepted for publication in A&A",1906.03216v1,No journal ref found,Michele R. Pestalozzi,http://arxiv.org/pdf/1906.03216v1,2019-06-07 16:26:49+00:00,astro-ph.GA,astro-ph.GA|astro-ph.SR,Probing the initial conditions of high-mass star formation. III.   Fragmentation and triggered star formation,2019-06-07 16:26:49+00:00,http://arxiv.org/abs/1906.03216v1
111,"In this letter, we report the discovery of 24 new super Li-rich (A(Li) $\ge$ 3.2) giants of He-core burning phase at red clump region. Results are based on systematic search of a large sample of about 12,500 giants common to the LAMOST spectroscopic and Kepler time resolved photometric surveys. The two key parameters derived from Kepler data; average period spacing ($\Delta p$) between $l=1$ mixed gravity dominated g-modes and average large frequency separation ($\Delta \nu$) $l=0$ acoustic p-modes, suggest all the Li-rich giants are in He-core burning phase. This is the first unbiased survey subjected to a robust technique of asteroseismic analysis to unambiguously determine evolutionary phase of Li-rich giants. The results provide a strong evidence that Li enhancement phenomenon is associated with giants of He-core burning phase, post He-flash, rather than any other phase on RGB with inert He-core surrounded by H-burning shell.","Raghubar Singh, Bacham E. Reddy, Yerra Bharat Kumar, H. M. Antia","8 pages, 4 figures, Accepted in ApJL",1906.03198v1,No journal ref found,H. M. Antia,http://arxiv.org/pdf/1906.03198v1,2019-06-07 16:07:08+00:00,astro-ph.SR,astro-ph.SR,Survey of Li-rich giants among Kepler and LAMOST fields: Determination   of Li-rich giants Evolutionary Phase,2019-06-07 16:07:08+00:00,http://arxiv.org/abs/1906.03198v1
112,"The possible occurence of ultralight boson clouds around Kerr black holes has attracted a lot of interest. In this work, we determine the signatures of boson cloud evolution in the shadow of a black hole. We assess the detectability of such variations in current and future imaging techniques of black hole shadow observations. We look at several black hole candidates, both intragalactic and extragalactic, and suggest Sgr$A^*$ as an optimal candidate for observation of such signatures. Thus black hole shadow observations could be instrumental in searching for ultralight bosons or axion like particles.","Rittick Roy, Urjit A. Yajnik",4 pages 1 figure,1906.03190v1,No journal ref found,Urjit A. Yajnik,http://arxiv.org/pdf/1906.03190v1,2019-06-07 15:54:02+00:00,gr-qc,gr-qc|astro-ph.HE|hep-ph,Evolution of black hole shadow in the presence of ultralight bosons,2019-06-07 15:54:02+00:00,http://arxiv.org/abs/1906.03190v1
113,"Observations from the Kepler mission have revealed frequent superflares on young and active solar-like stars. Superflares result from the large-scale restructuring of stellar magnetic fields, and are associated with the eruption of coronal material (a coronal mass ejection, or CME) and energy release that can be orders of magnitude greater than those observed in the largest solar flares. These catastrophic events, if frequent, can significantly impact the potential habitability of terrestrial exoplanets through atmospheric erosion or intense radiation exposure at the surface. We present results from numerical modeling designed to understand how an eruptive superflare from a young solar-type star, $\kappa^{1}Cet$, could occur and would impact its astrospheric environment. Our data-inspired, three-dimensional magnetohydrodynamic modeling shows that global-scale shear concentrated near the radial-field polarity inversion line can energize the closed-field stellar corona sufficiently to power a global, eruptive superflare that releases approximately the same energy as the extreme 1859 Carrington event from the Sun. We examine proxy measures of synthetic emission during the flare and estimate the observational signatures of our CME-driven shock, both of which could have extreme space-weather impacts on the habitability of any Earth-like exoplanets. We also speculate that the observed 1986 Robinson-Bopp superflare from $\kappa^{1}Cet$ was perhaps as extreme for that star as the Carrington flare was for the Sun.","Benjamin J. Lynch, Vladimir S. Airapetian, C. Richard DeVore, Maria D. Kazachenko, Teresa Lüftinger, Oleg Kochukhov, Lisa Rosén, William P. Abbett","16 pages, 12 figures, accepted for publication in ApJ",1906.03189v1,No journal ref found,William P. Abbett,http://arxiv.org/pdf/1906.03189v1,2019-06-07 15:53:06+00:00,astro-ph.SR,astro-ph.SR|physics.space-ph,Modeling a Carrington-scale Stellar Superflare and Coronal Mass Ejection   from $κ^{1}Cet$,2019-06-07 15:53:06+00:00,http://arxiv.org/abs/1906.03189v1
114,"We provide exact analytic expressions for the density, pressure, average number density and pseudo-pressure for massive neutrinos and generic dark matter particles, both fermions and bosons. We then focus on massive neutrinos and we compare our analytic expressions with the numerical implementation in the CLASS Boltzmann code. We find that our modifications including the exact analytic expressions are in agreement to better than $10^{-4}\%$ with the default CLASS implementation in the estimation of the CMB power spectrum; our modifications do not have an impact on the performance of the code. We also provide several specific limits of our expressions at the relativistic regime, but also at late times for the neutrino equation of state.","Rubén Arjona, Wilmar Cardona, Savvas Nesseris","15 pages, 4 figures, comments welcome",1906.03160v1,No journal ref found,Savvas Nesseris,http://arxiv.org/pdf/1906.03160v1,2019-06-07 15:28:58+00:00,astro-ph.CO,astro-ph.CO|hep-ph,Analytic expressions for the background evolution of massive neutrinos   and dark matter particles,2019-06-07 15:28:58+00:00,http://arxiv.org/abs/1906.03160v1
115,"We propose a multi-messenger probe of the natural parameter space of QCD axion dark matter based on observations of black hole-neutron star binary inspirals. It is suggested that a dense dark matter spike may grow around intermediate mass black holes ($10^{3}-10^{5} \mathrm{\,M_{\odot}}$). The presence of such a spike produces two unique effects: a distinct phase shift in the gravitational wave strain during the inspiral and a enhancement of the radio emission due to the resonant axion-photon conversion occurring in the neutron star magnetosphere throughout the inspiral and merger. Remarkably, the observation of the gravitational wave signal can be used to infer the dark matter density and, consequently, to predict the radio emission. We study the projected sensitivity to the axion-photon coupling in the light of the LISA interferometer and next-generation radio telescopes such as the Square Kilometre Array. Given a sufficiently nearby detection, such observations will explore the QCD axion in the mass range $10^{-7}\,\mathrm{eV}$ to $10^{-5}\,\mathrm{eV}$.","Thomas D. P. Edwards, Marco Chianese, Bradley J. Kavanagh, Samaya M. Nissanke, Christoph Weniger","5 pages, 3 figures. Appendix added with additional figures",1905.04686v2,No journal ref found,Christoph Weniger,http://arxiv.org/pdf/1905.04686v2,2019-05-12 10:36:39+00:00,hep-ph,hep-ph|astro-ph.CO|astro-ph.HE|gr-qc,A Unique Multi-Messenger Signal of QCD Axion Dark Matter,2019-06-07 15:24:18+00:00,http://arxiv.org/abs/1905.04686v2
116,"Convolutional Neural Networks (CNN) have recently been demonstrated on synthetic data to improve upon the precision of cosmological inference. In particular they have the potential to yield more precise cosmological constraints from weak lensing mass maps than the two-point functions. We present the cosmological results with a CNN from the KiDS-450 tomographic weak lensing dataset, constraining the total matter density $\Omega_m$, the fluctuation amplitude $\sigma_8$, and the intrinsic alignment amplitude $A_{\rm{IA}}$. We use a grid of N-body simulations to generate a training set of tomographic weak lensing maps. We test the robustness of the expected constraints to various effects, such as baryonic feedback, simulation accuracy, different value of $H_0$, or the lightcone projection technique. We train a set of ResNet-based CNNs with varying depths to analyze sets of tomographic KiDS mass maps divided into 20 flat regions, with applied Gaussian smoothing of $\sigma=2.34$ arcmin. The uncertainties on shear calibration and $n(z)$ error are marginalized in the likelihood pipeline. Following a blinding scheme, we derive constraints of $S_8 = \sigma_8 (\Omega_m/0.3)^{0.5} = 0.777^{+0.038}_{-0.036}$ with our CNN analysis, with $A_{\rm{IA}}=1.398^{+0.779}_{-0.724}$. We compare this result to the power spectrum analysis on the same maps and likelihood pipeline and find an improvement of about $30\%$ for the CNN. We discuss how our results offer excellent prospects for the use of deep learning in future cosmological data analysis.","Janis Fluri, Tomasz Kacprzak, Aurelien Lucchi, Alexandre Refregier, Adam Amara, Thomas Hofmann, Aurel Schneider","21 pages, 15 figures",1906.03156v1,No journal ref found,Aurel Schneider,http://arxiv.org/pdf/1906.03156v1,2019-06-07 15:20:18+00:00,astro-ph.CO,astro-ph.CO,Cosmological constraints with deep learning from KiDS-450 weak lensing   maps,2019-06-07 15:20:18+00:00,http://arxiv.org/abs/1906.03156v1
117,"The dark energy component of the universe still remains as a mystery, however, several papers based on observational data have shown that its equation of state may have an oscillatory behaviour. In this paper, we provide a general description for the dark-energy equation-of-state $w(z)$ in the form of Fourier series. This description generalises some previous dynamical dark energy models and is in agreement with the $w(z)$ reconstructions. We make use of a modified version of a simple and fast Markov Chain Monte Carlo code to constraint the model parameters. For the analysis we use data from supernovae type-Ia , baryon acoustic oscillations, $H(z)$ measurements and cosmic microwave background. We provide a comparison of the proposed model with $\Lambda$CDM, $w$CDM and the standard Taylor approximation. The Fourier series expansion of $w(z)$ is preferred from $\Lambda$CDM at more than $3\sigma$ significance level based on the improvement in the fit alone. We use the Akaike criteria to perform the model comparison and found that, even though there are extra parameters, there is a slight preference of the Fourier series compared with the $\Lambda$CDM model. The preferred shape of $w(z)$ found here puts in jeopardy the single scalar field models, as they as they cannot reproduce the crossing the phantom divide line $w=-1$.","David Tamayo, J. Alberto Vazquez","10 pages, 4 figures",1901.08679v2,No journal ref found,J. Alberto Vazquez,http://arxiv.org/pdf/1901.08679v2,2019-01-24 23:12:29+00:00,astro-ph.CO,astro-ph.CO,Fourier-series expansion of the dark-energy equation of state,2019-06-07 15:19:46+00:00,http://arxiv.org/abs/1901.08679v2
118,"We report the discovery of three stars that, along with the prototype LP40-365, form a distinct class of chemically peculiar runaway stars that are the survivors of thermonuclear explosions. Spectroscopy of the four confirmed LP 40-365 stars finds ONe-dominated atmospheres enriched with remarkably similar amounts of nuclear ashes of partial O- and Si-burning. Kinematic evidence is consistent with ejection from a binary supernova progenitor; at least two stars have rest-frame velocities indicating they are unbound to the Galaxy. With masses and radii ranging between 0.20-0.28 Msun and 0.16-0.60 Rsun, respectively, we speculate these inflated white dwarfs are the partly burnt remnants of either peculiar Type Iax or electron-capture supernovae. Adopting supernova rates from the literature, we estimate that ~20 LP40-365 stars brighter than 19 mag should be detectable within 2 kpc from the Sun at the end of the Gaia mission. We suggest that as they cool, these stars will evolve in their spectroscopic appearance, and eventually become peculiar O-rich white dwarfs. Finally, we stress that the discovery of new LP40-365 stars will be useful to further constrain their evolution, supplying key boundary conditions to the modelling of explosion mechanisms, supernova rates, and nucleosynthetic yields of peculiar thermonuclear explosions.","R. Raddi, M. A. Hollands, D. Koester, J. J. Hermes, B. T. Gaensicke, U. Heber, K. J. Shen, D. M. Townsley, A. F. Pala, J. S. Reding, O. F. Toloza, I. Pelisoli, S. Geier, N. P. Gentile Fusillo, U. Munari, J. Strader","22 pages, 14 figures, 6 tables. Accepted for publication on MNRAS",1902.05061v2,No journal ref found,J. Strader,http://arxiv.org/pdf/1902.05061v2,2019-02-13 18:59:59+00:00,astro-ph.SR,astro-ph.SR,Partly burnt runaway stellar remnants from peculiar thermonuclear   supernovae,2019-06-07 14:54:30+00:00,http://arxiv.org/abs/1902.05061v2
119,"We suggest that fast-rising blue optical transients (FBOTs) and the brightest event of the class AT2018cow result from an electron-capture collapse to a \NS\ following a merger of a massive ONeMg white dwarf (WD) with another WD. Two distinct evolutionary channels lead to the disruption of the less massive WD during the merger and the formation of a shell burning non-degenerate star incorporating the ONeMg core. During the shell burning stage a large fraction of the envelope is lost to the wind, while mass and angular momentum are added to the core. As a result, the electron-capture collapse occurs with a small envelope mass, after $\sim 10^2-10^4$ years. During the formation of a neutron star as little as $\sim 10^{-2} M_\odot $ of the material is ejected at the bounce-off with mildly relativistic velocities and total energy $\sim$ few $ 10^{50}$ ergs. This ejecta becomes optically thin on a time scale of days - this is the FBOT. During the collapse, the neutron star is spun up and magnetic field is amplified. The ensuing fast magnetically-dominated relativistic wind from the newly formed neutron star shocks against the ejecta, and later against the wind. The radiation-dominated forward shock produces the long-lasting optical afterglow, while the termination shock of the relativistic wind produces the high energy emission in a manner similar to Pulsar Wind Nebulae. If the secondary WD was of the DA type, the wind will likely have $\sim 10^{-4} M_\odot$ of hydrogen; this explains the appearance of hydrogen late in the afterglow spectrum. The model explains many of the puzzling properties of FBOTs/AT2018cow: host galaxies, a fast and light anisotropic ejecta producing a bright optical peak, afterglow high energy emission of similar luminosity to the optical, and late infra-red features.","Maxim Lyutikov, Silvia Toonen",arXiv admin note: text overlap with arXiv:1709.02221,1812.07569v2,No journal ref found,Silvia Toonen,http://arxiv.org/pdf/1812.07569v2,2018-12-18 22:30:12+00:00,astro-ph.HE,astro-ph.HE,FBOTs and AT2018cow following electron-capture collapse of merged white   dwarfs,2019-06-07 14:40:57+00:00,http://arxiv.org/abs/1812.07569v2
120,"MAORY is the Adaptive Optic (AO) module that will be installed at the E-ELT at the first light of the telescope. It will provide two different types of AO correction, a very high correction over a small FoV (diameter ~10 arcsec, SCAO mode) and a moderate and homogeneous correction over a wide FoV (diameter ~60 arcsec, MCAO mode). Here we present a first collection of science cases for MAORY feeding the E-ELT first light camera and spectrograph MICADO. Since the general science cases for E-ELT have already been developed elsewhere, here we focus on the design of specific observations, to explore the capabilities and observing modes of the system.","G. Fiorentino, M. Bellazzini, P. Ciliegi, G. Chauvin, S. Douté, V. D'Orazi, E. Maiorano, F. Mannucci, M. Mapelli, L. Podio, P. Saracco, M. Spavone","172 pages, pdf file",1712.04222v2,No journal ref found,M. Spavone,http://arxiv.org/pdf/1712.04222v2,2017-12-12 10:48:57+00:00,astro-ph.IM,astro-ph.IM,MAORY science cases white book,2019-06-07 14:35:16+00:00,http://arxiv.org/abs/1712.04222v2
121,"An analytical expression is given for the minimum of the mean square of the time-delay induced wavefront error (also known as the servo-lag error) in Adaptive Optics systems. The analysis is based on the von K\'arm\'an model for the spectral density of refractive index fluctuations and the hypothesis of frozen flow. An optimal, temporal predictor can achieve up to a factor 1.77 more reduction of the wavefront phase variance, compared to the -- for Adaptive Optics systems commonly used -- integrator controller. Alternatively, an optimal predictor can allow for a 1.41 times longer time-delay to arrive at the same residual phase variance as the integrator. In general, the performance of the optimal, temporal predictor depends on the product of time-delay, wind speed and the reciprocal of outer scale.",Niek Doelman,"8 pages, 6 figures",1906.03128v1,No journal ref found,Niek Doelman,http://arxiv.org/pdf/1906.03128v1,2019-06-07 14:32:09+00:00,astro-ph.IM,astro-ph.IM,The minimum of the time-delay wavefront error in Adaptive Optics,2019-06-07 14:32:09+00:00,http://arxiv.org/abs/1906.03128v1
122,"[ABRIDGED] We derive the dust properties for 753 local galaxies and examine how these relate to some of their physical properties. We model their global dust-SEDs, treated statistically as an ensemble within a hierarchical Bayesian dust-SED modeling approach. The model-derived properties are the dust masses (Mdust), the average interstellar radiation field intensities (Uav), the mass fraction of very small dust grains ('QPAH' fraction), as well as their standard deviations. In addition, we use mid-IR observations to derive SFR and Mstar, quantities independent of the modeling. We derive distribution functions of the properties for the galaxy ensemble and per galaxy type. The mean value of Mdust for the ETGs is lower than that for the LTGs and IRs, despite ETGs and LTGs having Mstar spanning across the whole range observed. The Uav and 'QPAH' fraction show no difference among different galaxy types. When fixing Uav to the Galactic value, the derived 'QPAH' fraction varies across the Galactic value (0.071). The sSFR increases with galaxy type, while this is not the case for the dust-sSFR (=SFR/Mdust), showing an almost constant SFE per galaxy type. The galaxy sample is characterised by a tight relation between Mdust and Mstar for the LTGs and Irs, while ETGs scatter around this relation and tend towards smaller Mdust. While the relation indicates that Mdust may fundamentally be linked to Mstar, metallicity and Uav are the second parameter driving the scatter, which we investigate in a forthcoming work. We use the extended KS law to estimate Mgas and the GDR. The Mgas derived from the extended KS law is on average ~20% higher than that derived from the KS law, and a large standard deviation indicates the importance of the average SF present to regulate star formation and gas supply. The average GDR for the LTGs and IRs is 370, while including the ETGs gives an average of 550. [ABRIDGED]","Sophia Lianou, Pauline Barmby, Aleksandr Mosenkov, Matthew Lehnert, Oskar Karczewski","18 pages, including 8 figures; 4 tables in the Appendix contain the
  data release (in the online version and upon request); article to appear in
  A&A",1906.02712v2,No journal ref found,Oskar Karczewski,http://arxiv.org/pdf/1906.02712v2,2019-06-06 17:27:09+00:00,astro-ph.GA,astro-ph.GA|astro-ph.SR,Dust properties and star formation of about a thousand local galaxies,2019-06-07 14:13:29+00:00,http://arxiv.org/abs/1906.02712v2
